.next/dev/types/validator.ts(563,52): error TS2344: Type '"/legal/terms-of-service"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(572,52): error TS2344: Type '"/login"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(581,52): error TS2344: Type '"/logout"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(590,52): error TS2344: Type '"/new-launches"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(599,52): error TS2344: Type '"/offers"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(608,52): error TS2344: Type '"/otp-verification"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(617,52): error TS2344: Type '"/"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(626,52): error TS2344: Type '"/press"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(635,52): error TS2344: Type '"/product/[id]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(644,52): error TS2344: Type '"/register"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(653,52): error TS2344: Type '"/returns"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(662,52): error TS2344: Type '"/search"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(671,52): error TS2344: Type '"/seller/approval"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(680,52): error TS2344: Type '"/seller/dashboard/analytics"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(689,52): error TS2344: Type '"/seller/dashboard/coupons"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(698,52): error TS2344: Type '"/seller/dashboard/finance"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(707,52): error TS2344: Type '"/seller/dashboard/orders/[id]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(716,52): error TS2344: Type '"/seller/dashboard/orders"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(725,52): error TS2344: Type '"/seller/dashboard"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(734,52): error TS2344: Type '"/seller/dashboard/products/add"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(743,52): error TS2344: Type '"/seller/dashboard/products/create"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(752,52): error TS2344: Type '"/seller/dashboard/products"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(761,52): error TS2344: Type '"/seller/dashboard/profile"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(770,52): error TS2344: Type '"/seller/dashboard/reviews"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(779,52): error TS2344: Type '"/seller/dashboard/support"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(788,52): error TS2344: Type '"/seller/login"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(797,52): error TS2344: Type '"/seller/onboarding"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(806,52): error TS2344: Type '"/seller"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(815,52): error TS2344: Type '"/seller/register"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(824,52): error TS2344: Type '"/seller/sellerpolicy"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(833,52): error TS2344: Type '"/shop/[category]/[slug]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(842,52): error TS2344: Type '"/shop/[category]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(851,52): error TS2344: Type '"/shop"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(860,52): error TS2344: Type '"/superadmin/dashboard/attributes/[id]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(869,52): error TS2344: Type '"/superadmin/dashboard/attributes"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(878,52): error TS2344: Type '"/superadmin/dashboard/brands"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(887,52): error TS2344: Type '"/superadmin/dashboard/categories"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(896,52): error TS2344: Type '"/superadmin/dashboard/cms/banners"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(905,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs/[id]"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(914,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs/authors"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(923,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs/categories"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(932,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs/create"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(941,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(950,52): error TS2344: Type '"/superadmin/dashboard/cms/blogs/tags"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(959,52): error TS2344: Type '"/superadmin/dashboard/cms/homepage"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(968,52): error TS2344: Type '"/superadmin/dashboard/cms"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(977,52): error TS2344: Type '"/superadmin/dashboard/community/affiliates"' does not satisfy the constraint 'never'.
.next/dev/types/validator.ts(986,52): error TS2344: Type '"/superadmin/dashboard/community/members"' does not satisfy the constraint 'never'.
